Date;Temperature
30/10/2018 04:00;278.15
31/10/2018 01:00;281.55
24/10/2018 14:00;292.55
28/10/2018 07:00;277.25
02/09/2018 17:00;300.55
03/09/2018 08:00;286.15
22/09/2018 05:00;284.55
18/09/2018 02:00;294.15
11/09/2018 14:00;301.45
19/09/2018 05:00;290.65
27/09/2018 14:00;300.45
02/10/2018 14:00;291.85
02/10/2018 17:00;293.65
12/10/2018 08:00;290.75
15/12/2018 10:00;277.95
16/12/2018 07:00;283.15
09/12/2018 07:00;286.15
11/12/2018 19:00;280.25
01/12/2018 13:00;284.35
05/11/2018 22:00;285.05
11/11/2018 10:00;287.35
27/11/2018 19:00;283.35
30/12/2018 04:00;273.45
19/12/2018 04:00;281.25
19/12/2018 16:00;282.75
28/12/2018 13:00;286.05
29/12/2018 07:00;273.45
02/05/2018 11:00;286.45
24/04/2018 20:00;293.55
25/04/2018 02:00;285.75
10/05/2018 05:00;285.35
11/05/2018 20:00;291.05
29/04/2018 02:00;283.55
28/02/2018 16:00;274.55
20/02/2018 13:00;285.45
02/03/2018 01:00;281.75
24/02/2018 10:00;274.75
17/07/2018 11:00;297.15
08/01/2018 04:00;282.35
13/01/2018 19:00;279.95
09/01/2018 16:00;284.85
10/01/2018 01:00;281.05
16/06/2018 11:00;291.75
11/06/2018 02:00;290.15
14/06/2018 17:00;294.85
13/05/2018 14:00;287.55
14/05/2018 02:00;281.05
15/05/2018 08:00;285.55
24/05/2018 14:00;297.35
20/05/2018 08:00;286.65
29/05/2018 11:00;289.95
24/01/2018 13:00;286.85
30/01/2018 01:00;280.85
30/01/2018 22:00;282.05
29/01/2018 13:00;279.65
02/07/2018 14:00;299.65
17/06/2018 17:00;294.65
18/06/2018 23:00;290.75
21/06/2018 08:00;293.95
03/07/2018 20:00;299.35
05/07/2018 14:00;295.65
22/06/2018 02:00;294.05
05/03/2018 13:00;286.75
05/03/2018 19:00;285.35
15/03/2018 10:00;284.05
12/08/2018 11:00;300.25
15/08/2018 20:00;301.95
07/08/2018 11:00;298.95
08/08/2018 17:00;299.25
09/08/2018 17:00;297.25
02/08/2018 02:00;292.15
10/02/2018 13:00;281.45
05/02/2018 01:00;276.95
11/02/2018 07:00;281.25
21/08/2018 11:00;299.05
21/08/2018 17:00;305.05
08/04/2018 20:00;285.05
10/04/2018 02:00;283.25
11/04/2018 02:00;281.75
21/04/2018 11:00;295.25
15/04/2018 17:00;289.65
11/04/2018 23:00;285.75
02/01/2018 13:00;287.15
01/04/2018 17:00;289.25
02/04/2018 11:00;286.15
02/04/2018 20:00;291.05
29/03/2018 23:00;281.55
30/03/2018 02:00;280.95
01/04/2018 05:00;276.75
23/03/2018 13:00;281.05
04/04/2018 14:00;289.25
05/04/2018 17:00;289.65
03/09/2018 05:00;286.45
21/09/2018 17:00;292.15
22/09/2018 02:00;285.85
28/09/2018 02:00;288.75
28/09/2018 05:00;287.65
05/09/2018 14:00;296.85
05/09/2018 23:00;291.05
16/09/2018 17:00;302.55
12/09/2018 23:00;292.25
13/09/2018 08:00;290.25
04/10/2018 14:00;294.95
05/10/2018 23:00;288.75
11/10/2018 02:00;288.15
03/10/2018 20:00;291.65
12/10/2018 23:00;293.85
